Industry,ticker,company,Market Cap,Market Cap2,Marker Cap
Helathcare,LLY,Eli Lilly and Company,647.35B,6.4735E+11,Large
Helathcare,JNJ,Johnson & Johnson,368.32B,3.6832E+11,Large
Helathcare,UNH,UnitedHealth Group Incorporated,268.95B,2.6895E+11,Large
Helathcare,CI,The Cigna Group,82.99B,82990000000,Large
Helathcare,EW,Edwards Lifesciences Corporation,45.22B,45220000000,Large
Helathcare,COO,"The Cooper Companies, Inc.",16.00B,16000000000,Large
Helathcare,WBA,"Walgreens Boots Alliance, Inc.",9.67B,9670000000,Medium
Helathcare,HAE,Haemonetics Corporation,3.27B,3270000000,Medium
Helathcare,HROW,"Harrow, Inc.",983.18M,983180000,Small
Helathcare,CYBN,Cybin Inc.,171.65M,171650000,Small
Financials,BRK.B,Berkshire Hathaway Inc.,"1,085.46B",1.08546E+12,Large
Financials,BAC,Bank of America Corporation,332.31B,3.3231E+11,Large
Financials,JPM,JPMorgan Chase & Co.,733.13B,7.3313E+11,Large
Financials,BLK,"BlackRock, Inc.",150.91B,1.5091E+11,Large
Financials,ALL,The Allstate Corporation,54.54B,54540000000,Large
Financials,AFL,Aflac Incorporated,55.52B,55520000000,Large
Financials,STT,State Street Corporation,27.60B,27600000000,Large
Financials,AXS,AXIS Capital Holdings Limited,8.06B,8060000000,Medium
Financials,SIGI,"Selective Insurance Group, Inc.",5.32B,5320000000,Medium
Financials,HCI,"HCI Group, Inc.",1.87B,1870000000,Small
Financials,ASA,ASA Gold and Precious Metals Limited,595.70M,595700000,Small
Tech,MSFT,Microsoft Corporation,"3,407.67B",3.40767E+12,Large
Tech,AAPL,Apple Inc.,"2,978.80B",2.9788E+12,Large
Tech,PLTR,Palantir Technologies Inc.,290.84B,2.9084E+11,Large
Tech,UBER,"Uber Technologies, Inc.",176.03B,1.7603E+11,Large
Tech,SHOP,Shopify Inc.,139.92B,1.3992E+11,Large
Tech,TEAM,Atlassian Corporation,53.91B,53910000000,Large
Tech,TOST,"Toast, Inc.",24.40B,24400000000,Large
Tech,HPQ,HP Inc.,23.66B,23660000000,Large
Tech,ON,ON Semiconductor Corporation,17.94B,17940000000,Large
Tech,SLAB,Silicon Laboratories Inc.,4.00B,4000000000,Medium
Tech,AI,"C3.ai, Inc.",3.78B,3780000000,Medium
Tech,CSIQ,Canadian Solar Inc.,685.69M,685690000,Small
Industrials,GE,General Electric Company,260.09B,2.6009E+11,Large
Industrials,DE,Deere & Company,137.05B,1.3705E+11,Large
Industrials,DAL,"Delta Air Lines, Inc.",31.69B,31690000000,Large
Industrials,CLH,"Clean Harbors, Inc.",12.06B,12060000000,Large
Industrials,AOS,A. O. Smith Corporation,9.19B,9190000000,Medium
Industrials,ROAD,"Construction Partners, Inc.",5.82B,5820000000,Medium
Industrials,BRC,Brady Corporation,3.31B,3310000000,Medium
Industrials,AIR,AAR Corp.,2.21B,2210000000,Medium
